Sender ID,Receiver ID,Receiver Timestamp,Range,Message Size,Signal Strength,Message ID,Message,Status Code
418,418,790192070,2.928645,35,-54,1,Hello from Sudeep 2 to all channels,0
418,418,790192070,3.080305,35,-57,1,Hello from Sudeep 2 to all channels,0
418,418,790192074,2.895131,35,-50,1,Hello from Sudeep 2 to all channels,0
418,418,790192074,2.781366,35,-51,1,Hello from Sudeep 2 to all channels,0
418,418,790192078,2.690354,35,-51,1,Hello from Sudeep 2 to all channels,0
418,418,790192082,2.58317,35,-50,1,Hello from Sudeep 2 to all channels,0
418,418,790192086,2.497423,35,-50,1,Hello from Sudeep 2 to all channels,0
418,418,790192090,2.428825,35,-50,1,Hello from Sudeep 2 to all channels,0
418,418,790192094,2.408321,35,-51,1,Hello from Sudeep 2 to all channels,0
418,418,790192098,2.357544,35,-50,1,Hello from Sudeep 2 to all channels,0
