Sender ID,Receiver ID,Receiver Timestamp,Range,Message Size,Signal Strength,Message ID,Message,Status Code
6469,1030,2025-01-25 11:38:53,50.11873,29,-91,5,Welcome Device is now online.,0
716,6500,2025-01-25 11:38:56,48.69231,18,-89,576,hello from device.,16
5333,6500,2025-01-25 11:38:58,48.23702,39,-90,1,Welcome aboard Device is now connected.,1
6469,6500,2025-01-25 11:39:01,49.41301,39,-92,50,Welcome Device is powered up and ready.,2
716,17,2025-01-25 11:39:03,50.3538,18,-92,576,hello from device.,16
1024,1030,2025-01-25 11:39:13,48.24518,39,-88,50,Welcome Device is powered up and ready.,2
1024,17,2025-01-25 11:39:16,43.61992,39,-82,1,Welcome aboard Device is now connected.,1
716,17,2025-01-25 11:39:18,39.2048,29,-80,5,Welcome Device is now online.,0
716,6500,2025-01-25 11:39:21,40.64702,29,-90,5,Welcome Device is now online.,0
6469,6500,2025-01-25 11:39:38,37.17023,39,-81,50,Welcome Device is powered up and ready.,2
716,6500,2025-01-25 11:39:38,29.93619,39,-40,50,Welcome Device is powered up and ready.,2
716,17,2025-01-25 11:39:40,28.25782,39,-80,1,Welcome aboard Device is now connected.,1
6469,17,2025-01-25 11:39:40,22.80626,39,-40,1,Welcome aboard Device is now connected.,1
6469,6500,2025-01-25 11:39:43,22.55388,29,-80,5,Welcome Device is now online.,0
716,6500,2025-01-25 11:39:43,18.22833,29,-39,5,Welcome Device is now online.,0
1024,5500,2025-01-25 11:39:45,20.00721,39,-83,1,Welcome aboard Device is now connected.,1
1024,5500,2025-01-25 11:39:45,16.20577,39,-40,1,Welcome aboard Device is now connected.,1
6469,17,2025-01-25 11:39:48,17.98839,29,-82,5,Welcome Device is now online.,0
716,17,2025-01-25 11:39:48,14.64249,29,-43,5,Welcome Device is now online.,0
5333,1030,2025-01-25 11:39:50,17.13854,18,-83,576,hello from device.,16
1024,1030,2025-01-25 11:39:50,13.91083,18,-40,576,hello from device.,16
6469,1030,2025-01-25 11:39:53,15.78128,39,-81,50,Welcome Device is powered up and ready.,2
5333,1030,2025-01-25 11:39:53,12.8582,39,-42,50,Welcome Device is powered up and ready.,2
5333,1030,2025-01-25 11:39:53,10.55844,39,-44,50,Welcome Device is powered up and ready.,2
716,1030,2025-01-25 11:39:55,13.87129,18,-83,576,hello from device.,16
5333,1030,2025-01-25 11:39:55,11.28226,18,-39,576,hello from device.,16
1024,5500,2025-01-25 11:39:58,9.456695,39,-50,1,Welcome aboard Device is now connected.,1
716,5500,2025-01-25 11:39:58,11.87423,39,-80,1,Welcome aboard Device is now connected.,1
716,5500,2025-01-25 11:39:58,9.699381,39,-40,1,Welcome aboard Device is now connected.,1
5333,17,2025-01-25 11:40:00,10.92929,29,-76,5,Welcome Device is now online.,0
1024,17,2025-01-25 11:40:00,13.76721,29,-82,5,Welcome Device is now online.,0
5333,17,2025-01-25 11:40:00,11.22972,29,-41,5,Welcome Device is now online.,0
5333,1030,2025-01-25 11:40:03,9.183776,39,-40,1,Welcome aboard Device is now connected.,1
5333,6500,2025-01-25 11:40:05,10.51681,39,-76,50,Welcome Device is powered up and ready.,2
5333,6500,2025-01-25 11:40:05,11.8361,39,-77,50,Welcome Device is powered up and ready.,2
5333,6500,2025-01-25 11:40:05,9.867935,39,-49,50,Welcome Device is powered up and ready.,2
6469,6500,2025-01-25 11:40:05,11.88487,39,-79,50,Welcome Device is powered up and ready.,2
5333,6500,2025-01-25 11:40:05,14.93244,39,-83,50,Welcome Device is powered up and ready.,2
5333,17,2025-01-25 11:40:08,15.11574,18,-76,576,hello from device.,16
1024,17,2025-01-25 11:40:08,16.40146,18,-80,576,hello from device.,16
6469,17,2025-01-25 11:40:08,18.14494,18,-82,576,hello from device.,16
6469,17,2025-01-25 11:40:08,14.71595,18,-40,576,hello from device.,16
1024,5500,2025-01-25 11:40:10,14.94255,39,-76,1,Welcome aboard Device is now connected.,1
5333,5500,2025-01-25 11:40:10,15.3767,39,-77,1,Welcome aboard Device is now connected.,1
5333,5500,2025-01-25 11:40:10,15.99706,39,-78,1,Welcome aboard Device is now connected.,1
5333,5500,2025-01-25 11:40:10,16.2203,39,-77,1,Welcome aboard Device is now connected.,1
5333,5500,2025-01-25 11:40:10,16.67194,39,-78,1,Welcome aboard Device is now connected.,1
6469,17,2025-01-25 11:40:13,16.76021,29,-77,5,Welcome Device is now online.,0
716,17,2025-01-25 11:40:13,16.57796,29,-76,5,Welcome Device is now online.,0
1024,17,2025-01-25 11:40:13,16.43215,29,-76,5,Welcome Device is now online.,0
6469,17,2025-01-25 11:40:13,16.31551,29,-76,5,Welcome Device is now online.,0
1024,17,2025-01-25 11:40:13,17.36128,29,-80,5,Welcome Device is now online.,0
1024,17,2025-01-25 11:40:13,18.19789,29,-80,5,Welcome Device is now online.,0
716,17,2025-01-25 11:40:13,18.25401,29,-78,5,Welcome Device is now online.,0
1024,6500,2025-01-25 11:40:15,18.02587,39,-77,1,Welcome aboard Device is now connected.,1
716,6500,2025-01-25 11:40:15,17.84335,39,-77,1,Welcome aboard Device is now connected.,1
716,6500,2025-01-25 11:40:15,19.69923,39,-83,1,Welcome aboard Device is now connected.,1
5333,6500,2025-01-25 11:40:18,18.92917,29,-76,5,Welcome Device is now online.,0
716,6500,2025-01-25 11:40:18,18.56599,29,-77,5,Welcome Device is now online.,0
716,6500,2025-01-25 11:40:18,18.27545,29,-77,5,Welcome Device is now online.,0
6469,6500,2025-01-25 11:40:18,18.61089,29,-79,5,Welcome Device is now online.,0
716,6500,2025-01-25 11:40:18,18.58441,29,-78,5,Welcome Device is now online.,0
6469,6500,2025-01-25 11:40:18,20.72482,29,-84,5,Welcome Device is now online.,0
6469,1030,2025-01-25 11:40:20,20.27555,39,-78,1,Welcome aboard Device is now connected.,1
5333,1030,2025-01-25 11:40:20,19.91614,39,-78,1,Welcome aboard Device is now connected.,1
6469,1030,2025-01-25 11:40:20,19.92344,39,-79,1,Welcome aboard Device is now connected.,1
6469,1030,2025-01-25 11:40:20,16.12398,39,-39,1,Welcome aboard Device is now connected.,1
716,1030,2025-01-25 11:40:20,13.11514,39,-41,1,Welcome aboard Device is now connected.,1
1024,1030,2025-01-25 11:40:20,15.51588,39,-82,1,Welcome aboard Device is now connected.,1
716,6500,2025-01-25 11:40:23,15.58249,29,-76,5,Welcome Device is now online.,0
6469,6500,2025-01-25 11:40:23,16.45652,29,-79,5,Welcome Device is now online.,0
716,6500,2025-01-25 11:40:23,16.86091,29,-78,5,Welcome Device is now online.,0
